id,class
6173,spec_prior
8450,spec_prior
11571,not_recom
4211,spec_prior
3938,spec_prior
8980,spec_prior
6000,not_recom
11565,not_recom
11444,spec_prior
1929,not_recom
4870,priority
5567,priority
11463,not_recom
5186,priority
12795,not_recom
10574,spec_prior
7413,not_recom
2532,not_recom
4225,spec_prior
8889,not_recom
9642,not_recom
9542,spec_prior
11319,not_recom
6845,spec_prior
8440,spec_prior
11705,spec_prior
9269,spec_prior
6292,priority
7416,not_recom
7011,not_recom
1582,priority
11933,spec_prior
1578,not_recom
6864,not_recom
8640,not_recom
7561,priority
3336,not_recom
3403,priority
4890,not_recom
9668,priority
11601,not_recom
6785,spec_prior
1742,priority
6735,not_recom
2494,priority
194,priority
3435,not_recom
2220,not_recom
9475,spec_prior
8936,priority
1882,priority
975,not_recom
5615,priority
928,priority
1230,not_recom
6988,priority
12031,spec_prior
7517,spec_prior
8716,priority
9735,not_recom
599,priority
2888,spec_prior
9691,spec_prior
12021,not_recom
12881,spec_prior
12045,not_recom
1666,priority
10323,not_recom
693,not_recom
2668,priority
6349,priority
330,not_recom
9923,spec_prior
4835,priority
12929,spec_prior
2746,priority
813,not_recom
5254,priority
12573,not_recom
11034,not_recom
27,not_recom
5304,not_recom
9528,not_recom
12034,spec_prior
10612,priority
11775,not_recom
7833,not_recom
4354,very_recom
3001,priority
11380,spec_prior
943,priority
5416,priority
2812,priority
81,not_recom
2723,spec_prior
8022,not_recom
3334,priority
4403,priority
10285,spec_prior
3388,priority
11204,spec_prior
1536,not_recom
10741,spec_prior
8534,spec_prior
9112,priority
5860,very_recom
12712,spec_prior
9466,spec_prior
5216,priority
6158,priority
3397,priority
12559,priority
4980,not_recom
12274,spec_prior
7856,spec_prior
1907,priority
1781,priority
2421,not_recom
3682,priority
1076,priority
78,not_recom
4587,not_recom
3948,not_recom
7989,not_recom
10459,spec_prior
1963,very_recom
1842,not_recom
6887,spec_prior
5793,not_recom
6537,not_recom
3624,not_recom
11238,not_recom
7660,spec_prior
11190,not_recom
7398,not_recom
7107,not_recom
4897,priority
832,priority
9178,spec_prior
6119,spec_prior
1862,priority
1940,priority
7026,not_recom
9502,spec_prior
4377,not_recom
8957,spec_prior
8240,spec_prior
12618,not_recom
3121,spec_prior
7934,spec_prior
11670,not_recom
622,priority
1606,priority
5049,not_recom
103,priority
11532,not_recom
4668,not_recom
2547,not_recom
6224,spec_prior
4758,not_recom
2599,priority
2119,priority
1688,priority
2935,priority
1660,priority
9039,not_recom
9480,not_recom
4004,spec_prior
7455,not_recom
6747,not_recom
5607,not_recom
1061,priority
1888,priority
2764,priority
5476,very_recom
11472,not_recom
12103,spec_prior
8195,spec_prior
8490,not_recom
5762,priority
2130,not_recom
5896,very_recom
12773,spec_prior
9646,spec_prior
6769,priority
9424,priority
7808,spec_prior
8233,spec_prior
5981,priority
6042,not_recom
4528,priority
3489,not_recom
2068,priority
10964,spec_prior
9204,not_recom
3617,spec_prior
8106,not_recom
2321,priority
12875,spec_prior
352,priority
11695,priority
9285,not_recom
8851,priority
5939,priority
5181,not_recom
11845,spec_prior
10247,spec_prior
1362,not_recom
11215,spec_prior
3721,spec_prior
10000,priority
5431,very_recom
4005,not_recom
11462,spec_prior
9373,priority
1162,priority
7791,not_recom
501,not_recom
7590,not_recom
4969,very_recom
6952,spec_prior
1906,priority
11112,not_recom
5645,priority
8122,spec_prior
4948,priority
7157,spec_prior
8312,spec_prior
7215,not_recom
4938,not_recom
4063,spec_prior
1096,priority
5060,priority
1818,not_recom
9403,priority
9251,spec_prior
10241,spec_prior
7287,not_recom
7891,spec_prior
11898,not_recom
564,not_recom
2361,not_recom
3776,spec_prior
10226,spec_prior
7957,spec_prior
9173,spec_prior
566,priority
328,very_recom
11685,not_recom
6885,not_recom
4801,priority
4509,not_recom
12450,not_recom
35,priority
2528,priority
1681,priority
1586,priority
9019,priority
2741,spec_prior
11817,not_recom
6397,spec_prior
6421,priority
9404,priority
10687,spec_prior
9905,spec_prior
9864,not_recom
5278,priority
8796,not_recom
11165,spec_prior
6895,priority
1647,not_recom
8477,spec_prior
3439,priority
3262,priority
9723,not_recom
4429,very_recom
1969,very_recom
10409,spec_prior
10538,spec_prior
6681,not_recom
11242,spec_prior
1696,priority
3377,spec_prior
12565,spec_prior
9041,spec_prior
1640,priority
9664,spec_prior
5818,priority
6204,not_recom
2248,priority
1627,priority
3522,not_recom
7342,spec_prior
9984,not_recom
5204,priority
3175,priority
3039,not_recom
1279,priority
6458,spec_prior
12432,not_recom
289,very_recom
7052,spec_prior
7103,spec_prior
6200,spec_prior
8673,not_recom
10686,not_recom
9909,not_recom
7229,spec_prior
10840,spec_prior
6806,priority
3128,spec_prior
9532,priority
9804,not_recom
3627,not_recom
8911,priority
12003,not_recom
6581,spec_prior
6839,spec_prior
1143,not_recom
2814,not_recom
12124,priority
9659,spec_prior
6143,spec_prior
5326,priority
4001,spec_prior
11045,spec_prior
7035,not_recom
1375,priority
9533,priority
3545,spec_prior
8076,not_recom
11473,spec_prior
4153,spec_prior
12579,not_recom
12163,priority
5315,priority
7079,spec_prior
3658,spec_prior
12652,spec_prior
2065,priority
5165,priority
1345,priority
4626,not_recom
2962,priority
9070,spec_prior
11036,spec_prior
9222,not_recom
9442,priority
9941,priority
6617,spec_prior
5889,not_recom
7740,not_recom
1950,not_recom
7054,spec_prior
1807,very_recom
1461,not_recom
12026,spec_prior
656,priority
2244,not_recom
2189,priority
5432,priority
1272,not_recom
7484,spec_prior
9605,spec_prior
4178,spec_prior
11075,spec_prior
3611,spec_prior
2474,priority
3110,spec_prior
7768,spec_prior
10679,spec_prior
3856,spec_prior
224,priority
9509,priority
2106,not_recom
1873,priority
6842,spec_prior
1437,not_recom
4680,not_recom
1571,priority
9038,spec_prior
4448,priority
7295,spec_prior
5187,not_recom
5245,priority
2023,very_recom
12706,spec_prior
12829,spec_prior
1466,priority
6800,spec_prior
8311,spec_prior
10158,not_recom
303,not_recom
7882,spec_prior
5119,priority
12403,spec_prior
10509,not_recom
7600,spec_prior
4411,priority
1442,priority
558,not_recom
6498,not_recom
10775,spec_prior
9235,priority
3150,not_recom
11838,not_recom
4488,not_recom
1037,priority
5976,not_recom
4561,very_recom
998,priority
5409,not_recom
6109,priority
4059,not_recom
12713,spec_prior
10435,spec_prior
4356,not_recom
12566,spec_prior
10155,not_recom
4091,spec_prior
6233,spec_prior
7055,spec_prior
4582,priority
358,priority
10186,priority
12645,not_recom
4811,priority
3959,spec_prior
2892,not_recom
11964,not_recom
8730,not_recom
11240,spec_prior
11596,spec_prior
6499,priority
8629,spec_prior
3361,priority
5247,not_recom
7453,priority
7481,spec_prior
2385,not_recom
10213,priority
816,not_recom
9417,not_recom
4915,very_recom
9323,spec_prior
6628,priority
5685,not_recom
8212,priority
10778,spec_prior
8841,not_recom
6913,priority
12426,not_recom
3477,not_recom
4729,priority
9228,not_recom
5344,priority
4431,not_recom
504,not_recom
7719,not_recom
12414,not_recom
7498,spec_prior
8019,not_recom
12758,spec_prior
2808,not_recom
5549,priority
371,priority
4421,priority
2618,spec_prior
11160,not_recom
12297,not_recom
1821,not_recom
2099,priority
2266,priority
386,priority
11954,spec_prior
7844,spec_prior
5983,priority
5564,priority
6897,not_recom
12924,not_recom
5678,priority
5298,not_recom
4022,spec_prior
5693,priority
4191,not_recom
6229,priority
7578,not_recom
12560,spec_prior
522,not_recom
3295,priority
10358,spec_prior
1959,not_recom
11349,not_recom
4233,not_recom
3562,spec_prior
8187,not_recom
7996,priority
11501,spec_prior
3296,spec_prior
4642,priority
5941,priority
61,priority
2555,priority
2620,priority
8188,spec_prior
8518,spec_prior
1184,priority
12040,spec_prior
5603,priority
9877,priority
6610,priority
7023,not_recom
261,not_recom
2506,priority
12106,priority
1872,not_recom
12856,priority
2998,priority
5386,priority
7889,spec_prior
1975,very_recom
5566,very_recom
9379,priority
6828,not_recom
12858,not_recom
6066,not_recom
2150,priority
12287,spec_prior
7546,spec_prior
2371,priority
6516,not_recom
1031,priority
4209,not_recom
5796,not_recom
8393,spec_prior
4458,not_recom
3358,priority
10650,not_recom
1349,priority
6329,spec_prior
2681,spec_prior
11000,spec_prior
7823,spec_prior
1394,priority
10320,not_recom
8951,spec_prior
6272,priority
7225,spec_prior
6377,priority
12657,not_recom
9689,spec_prior
1155,not_recom
1654,priority
9418,priority
5756,priority
11953,spec_prior
2223,not_recom
1428,not_recom
11087,spec_prior
10669,priority
10054,priority
1136,priority
6267,not_recom
5512,very_recom
1753,very_recom
10132,spec_prior
6030,not_recom
7983,not_recom
1837,very_recom
11181,not_recom
1330,priority
8826,not_recom
4646,priority
4274,spec_prior
11304,not_recom
724,priority
11608,spec_prior
11483,spec_prior
10656,not_recom
7470,not_recom
507,not_recom
1926,not_recom
8429,spec_prior
2828,spec_prior
10649,spec_prior
1555,priority
5313,not_recom
7545,not_recom
2816,spec_prior
12325,priority
3535,spec_prior
6766,spec_prior
3266,spec_prior
5755,priority
10130,spec_prior
4644,not_recom
12879,not_recom
6886,priority
6268,priority
2249,priority
11092,spec_prior
9607,priority
10041,not_recom
4713,not_recom
1804,very_recom
5912,priority
5323,priority
11313,not_recom
12260,spec_prior
4581,not_recom
9939,not_recom
5947,priority
7014,not_recom
9227,spec_prior
2341,priority
10168,spec_prior
1289,priority
10172,spec_prior
11265,not_recom
6607,priority
9530,priority
11823,not_recom
10335,not_recom
9767,spec_prior
3514,priority
8399,spec_prior
1316,priority
8532,not_recom
10362,not_recom
2836,priority
12391,spec_prior
6825,not_recom
2874,not_recom
4187,spec_prior
9266,spec_prior
7657,spec_prior
4663,priority
5133,not_recom
3985,spec_prior
4071,not_recom
11229,not_recom
426,not_recom
11842,spec_prior
459,not_recom
10549,spec_prior
978,not_recom
5917,very_recom
8559,not_recom
457,priority
5443,priority
11019,not_recom
7209,not_recom
7932,not_recom
8630,spec_prior
11001,not_recom
6620,spec_prior
10260,not_recom
5378,priority
3893,spec_prior
9337,priority
12134,spec_prior
11543,spec_prior
12911,spec_prior
6577,spec_prior
7980,not_recom
10710,not_recom
7121,spec_prior
7598,spec_prior
5433,not_recom
6510,not_recom
8334,not_recom
2137,priority
5012,priority
4239,not_recom
460,very_recom
7513,spec_prior
3879,not_recom
3590,spec_prior
11476,priority
11403,not_recom
658,priority
541,very_recom
3511,priority
8765,spec_prior
11518,spec_prior
2632,priority
3402,not_recom
6306,not_recom
7585,spec_prior
2652,not_recom
2959,priority
3343,priority
3803,spec_prior
5260,very_recom
315,not_recom
2406,not_recom
2416,priority
4844,priority
5469,not_recom
1581,not_recom
3229,spec_prior
8516,spec_prior
2605,priority
7226,spec_prior
9494,spec_prior
7909,spec_prior
7252,spec_prior
10112,spec_prior
4650,not_recom
11733,not_recom
12591,not_recom
10016,spec_prior
7329,not_recom
5907,not_recom
8594,spec_prior
4151,spec_prior
2332,priority
3142,priority
4691,priority
1490,priority
12443,spec_prior
18,not_recom
10763,spec_prior
8820,not_recom
9212,spec_prior
3632,spec_prior
4940,priority
10047,not_recom
3546,not_recom
4382,priority
5760,not_recom
898,priority
5994,not_recom
2797,spec_prior
2187,not_recom
12237,not_recom
852,not_recom
414,not_recom
6255,not_recom
10064,spec_prior
6089,spec_prior
443,priority
3528,not_recom
8613,not_recom
2120,priority
5383,priority
4812,not_recom
1101,not_recom
5855,priority
11152,spec_prior
12245,spec_prior
3386,spec_prior
9615,not_recom
9847,priority
9382,priority
10309,priority
1078,priority
10818,not_recom
5135,priority
2072,priority
12850,spec_prior
4315,spec_prior
8917,priority
1020,not_recom
8504,spec_prior
3051,not_recom
10918,spec_prior
5036,priority
12626,spec_prior
12493,spec_prior
12733,spec_prior
5099,priority
8754,not_recom
4220,spec_prior
1961,priority
4371,not_recom
11460,not_recom
8710,spec_prior
10254,not_recom
5352,not_recom
6196,priority
7972,spec_prior
8162,spec_prior
7064,spec_prior
4126,spec_prior
3332,spec_prior
8497,spec_prior
2214,not_recom
3002,spec_prior
8830,priority
3480,not_recom
6464,spec_prior
675,not_recom
9858,not_recom
8378,spec_prior
7771,spec_prior
3112,priority
5543,priority
1274,priority
5589,not_recom
11942,spec_prior
2898,not_recom
12243,not_recom
9377,spec_prior
10391,spec_prior
157,priority
2304,not_recom
5452,priority
1346,priority
8054,spec_prior
12193,spec_prior
3253,priority
863,priority
9488,spec_prior
12091,spec_prior
10949,spec_prior
5808,not_recom
5933,priority
9493,spec_prior
12293,spec_prior
6313,priority
6665,spec_prior
7651,spec_prior
10463,spec_prior
4278,not_recom
836,priority
87,not_recom
10389,not_recom
12527,spec_prior
2434,very_recom
2985,not_recom
6008,priority
9457,priority
3208,priority
6189,not_recom
11755,spec_prior
5044,priority
774,not_recom
1187,priority
3204,not_recom
5233,priority
7738,spec_prior
10892,spec_prior
5612,priority
7769,spec_prior
8118,not_recom
9182,priority
5475,not_recom
8180,spec_prior
7835,spec_prior
5856,not_recom
2662,priority
12360,not_recom
12385,priority
1619,priority
6105,not_recom
10829,spec_prior
12135,not_recom
11110,spec_prior
12340,priority
7683,not_recom
10490,spec_prior
10479,not_recom
12067,spec_prior
6572,spec_prior
8207,spec_prior
6221,spec_prior
2042,priority
12837,not_recom
3930,not_recom
6038,priority
10994,spec_prior
364,priority
6977,spec_prior
1422,not_recom
1377,not_recom
263,priority
9836,priority
7992,not_recom
11061,not_recom
5043,not_recom
5556,not_recom
9153,not_recom
4929,not_recom
5923,priority
3722,spec_prior
9892,priority
12160,spec_prior
11534,spec_prior
1806,not_recom
788,priority
7170,not_recom
8369,spec_prior
5417,priority
810,not_recom
12906,not_recom
10244,spec_prior
11016,not_recom
1249,priority
10664,spec_prior
11207,spec_prior
7920,not_recom
2482,priority
3944,spec_prior
12577,spec_prior
2520,not_recom
8893,priority
4438,priority
12460,spec_prior
10291,priority
3602,spec_prior
2991,not_recom
589,priority
3404,spec_prior
3808,spec_prior
11077,spec_prior
11178,not_recom
2091,not_recom
7772,spec_prior
3087,not_recom
10250,spec_prior
11168,spec_prior
7730,spec_prior
5355,not_recom
4857,not_recom
7688,spec_prior
8037,not_recom
11530,priority
4074,not_recom
6812,priority
7110,not_recom
2909,spec_prior
8485,spec_prior
2595,not_recom
5069,priority
6394,priority
3046,priority
4085,spec_prior
3582,not_recom
12823,spec_prior
9436,priority
7180,spec_prior
12094,spec_prior
10324,priority
12827,spec_prior
7876,spec_prior
5578,priority
9849,not_recom
12871,spec_prior
4572,not_recom
1339,priority
621,not_recom
9743,priority
8655,not_recom
9025,priority
5970,not_recom
3400,spec_prior
4140,not_recom
4935,not_recom
10252,priority
4164,not_recom
9020,priority
2245,priority
10028,spec_prior
6588,not_recom
12319,spec_prior
10013,spec_prior
6522,not_recom
10552,spec_prior
11010,not_recom
12017,spec_prior
1439,priority
2000,priority
2415,not_recom
11317,priority
5640,not_recom
6112,priority
12950,spec_prior
6434,priority
9820,priority
8926,spec_prior
7246,spec_prior
7629,not_recom
7998,not_recom
5879,priority
4256,spec_prior
9581,priority
3937,spec_prior
6780,not_recom
17,priority
6123,not_recom
75,not_recom
2622,not_recom
3409,spec_prior
12411,not_recom
12819,not_recom
2613,not_recom
3939,not_recom
5996,priority
2600,spec_prior
7806,not_recom
12238,spec_prior
9999,not_recom
2468,priority
2980,priority
9195,not_recom
2643,not_recom
6252,not_recom
12752,spec_prior
1614,not_recom
3979,spec_prior
9818,spec_prior
2326,very_recom
7991,spec_prior
12068,spec_prior
12521,spec_prior
7963,spec_prior
2403,not_recom
7407,not_recom
10403,spec_prior
3443,spec_prior
7785,not_recom
10633,spec_prior
11672,spec_prior
12917,spec_prior
1452,not_recom
2689,spec_prior
11206,spec_prior
11879,spec_prior
4984,priority
5389,priority
10707,not_recom
12147,not_recom
1309,priority
10529,spec_prior
11088,not_recom
7642,spec_prior
12437,spec_prior
8733,not_recom
4808,priority
5199,not_recom
8631,not_recom
4965,not_recom
8727,not_recom
11155,spec_prior
3491,spec_prior
11103,not_recom
6280,spec_prior
6396,not_recom
11853,not_recom
10819,priority
12126,not_recom
10510,spec_prior
8656,spec_prior
1521,not_recom
9604,priority
11428,spec_prior
11361,not_recom
11143,spec_prior
7579,priority
8946,not_recom
3961,spec_prior
5372,priority
12433,spec_prior
739,priority
1591,priority
6264,not_recom
4177,spec_prior
3347,spec_prior
10554,not_recom
8835,not_recom
8547,not_recom
846,not_recom
12914,spec_prior
3649,spec_prior
10712,spec_prior
9010,priority
10716,not_recom
4442,priority
1062,not_recom
8093,spec_prior
7704,not_recom
3126,not_recom
11704,spec_prior
547,priority
11660,spec_prior
3698,spec_prior
9813,not_recom
2972,spec_prior
5502,not_recom
4936,priority
12736,spec_prior
9074,priority
2432,priority
3267,not_recom
11814,not_recom
12310,spec_prior
1724,priority
3845,spec_prior
1182,not_recom
6407,spec_prior
5595,not_recom
711,not_recom
9663,not_recom
7331,spec_prior
570,not_recom
7208,spec_prior
5330,priority
9651,not_recom
2733,not_recom
12853,priority
12766,spec_prior
7425,not_recom
10993,spec_prior
1718,priority
12844,spec_prior
7874,spec_prior
3579,not_recom
6651,not_recom
4086,not_recom
1522,priority
10300,priority
6694,spec_prior
3916,priority
7965,not_recom
5705,priority
12380,spec_prior
7986,not_recom
11298,not_recom
1762,very_recom
8428,priority
4449,not_recom
12336,not_recom
4013,spec_prior
9014,spec_prior
5806,priority
2205,not_recom
8151,not_recom
9477,not_recom
3668,spec_prior
7594,spec_prior
4992,not_recom
6087,not_recom
2646,not_recom
1240,priority
8114,spec_prior
12369,not_recom
11065,spec_prior
4476,not_recom
936,not_recom
8564,spec_prior
2210,priority
11932,spec_prior
4156,spec_prior
5728,very_recom
11386,spec_prior
766,priority
12136,spec_prior
10438,spec_prior
37,priority
4044,not_recom
6040,priority
3499,spec_prior
9188,priority
10928,spec_prior
3015,not_recom
1164,not_recom
12448,spec_prior
7884,not_recom
384,not_recom
3062,spec_prior
12024,not_recom
5859,not_recom
7359,not_recom
4706,priority
630,not_recom
8005,priority
2807,spec_prior
363,not_recom
10565,spec_prior
5792,priority
6706,priority
7587,not_recom
4661,priority
6423,not_recom
9884,priority
11325,not_recom
11747,spec_prior
7787,spec_prior
9539,priority
10170,not_recom
8225,spec_prior
6852,not_recom
2922,not_recom
649,very_recom
10185,not_recom
6811,priority
5659,priority
7375,priority
6764,spec_prior
5406,not_recom
3483,not_recom
12422,spec_prior
6746,spec_prior
12877,spec_prior
12168,not_recom
874,priority
8856,not_recom
7140,not_recom
1894,very_recom
2971,priority
11344,priority
6353,priority
8866,priority
2170,priority
4426,priority
6435,not_recom
3906,not_recom
1212,not_recom
11173,spec_prior
11899,priority
10049,priority
4393,very_recom
12320,spec_prior
6555,not_recom
12498,not_recom
4592,priority
5413,priority
6373,priority
12747,not_recom
11884,priority
1820,priority
11753,spec_prior
6990,not_recom
9456,not_recom
8199,not_recom
3451,priority
9000,not_recom
6604,spec_prior
8677,priority
713,priority
11055,not_recom
6035,priority
7720,spec_prior
12849,not_recom
11450,spec_prior
1172,priority
4279,spec_prior
10911,not_recom
6443,spec_prior
9701,spec_prior
9637,spec_prior
9900,not_recom
5272,priority
12623,spec_prior
5021,priority
3818,spec_prior
7048,spec_prior
12451,spec_prior
7597,spec_prior
12778,spec_prior
2954,spec_prior
2239,priority
7809,not_recom
9545,spec_prior
4130,spec_prior
1009,priority
5786,priority
12772,spec_prior
8139,not_recom
1191,not_recom
692,priority
968,priority
8934,not_recom
12223,spec_prior
5340,not_recom
1152,not_recom
3106,priority
7543,spec_prior
10436,spec_prior
11343,not_recom
2330,priority
1671,not_recom
8329,spec_prior
3799,spec_prior
11778,not_recom
11960,spec_prior
10852,spec_prior
933,not_recom
5695,priority
4606,priority
837,not_recom
8078,spec_prior
11231,spec_prior
115,priority
6558,not_recom
12933,not_recom
8117,spec_prior
2196,not_recom
5357,priority
11423,spec_prior
2758,priority
2356,priority
2337,not_recom
894,not_recom
11434,spec_prior
5160,not_recom
11598,not_recom
5426,priority
7682,spec_prior
3552,not_recom
10904,spec_prior
10850,spec_prior
227,priority
1371,not_recom
3661,spec_prior
2693,spec_prior
2997,not_recom
3680,spec_prior
12413,spec_prior
8763,not_recom
8478,not_recom
10715,spec_prior
138,not_recom
2941,priority
3370,priority
4970,priority
8013,not_recom
8973,not_recom
10709,spec_prior
12751,spec_prior
1267,priority
8535,not_recom
6637,priority
3905,spec_prior
3615,not_recom
1723,priority
5405,priority
922,very_recom
8563,spec_prior
8527,spec_prior
11821,spec_prior
1302,not_recom
5131,very_recom
2776,priority
5045,priority
4652,priority
6664,priority
8989,spec_prior
6927,not_recom
7962,not_recom
6057,not_recom
10021,priority
6160,priority
19,very_recom
1740,not_recom
3471,not_recom
10057,priority
2398,priority
4094,spec_prior
11560,priority
1177,priority
11648,spec_prior
4146,not_recom
1588,very_recom
11031,not_recom
8039,spec_prior
11314,priority
7560,not_recom
9580,priority
1226,priority
10966,priority
5509,priority
3851,spec_prior
6044,priority
1200,not_recom
12270,not_recom
11405,spec_prior
1684,priority
8947,priority
8142,not_recom
8543,spec_prior
7863,not_recom
9673,priority
7480,spec_prior
4253,spec_prior
2101,priority
1396,priority
350,priority
7694,spec_prior
9088,spec_prior
2270,priority
12510,not_recom
3874,spec_prior
12155,spec_prior
4306,spec_prior
5421,not_recom
12864,not_recom
9740,priority
10809,not_recom
2914,spec_prior
6857,spec_prior
123,not_recom
5724,not_recom
10385,spec_prior
9111,not_recom
5812,priority
9817,spec_prior
623,priority
8167,spec_prior
4712,priority
1117,priority
2240,priority
6487,priority
9218,spec_prior
12490,spec_prior
5236,priority
1997,priority
10339,spec_prior
1370,priority
11196,not_recom
5274,not_recom
3595,spec_prior
4768,priority
6240,not_recom
3729,not_recom
8941,priority
11674,spec_prior
1128,not_recom
6496,spec_prior
1348,priority
584,priority
5538,not_recom
1998,not_recom
7968,not_recom
811,very_recom
12708,not_recom
8992,priority
9272,spec_prior
3193,spec_prior
3090,not_recom
1946,priority
7837,spec_prior
4615,very_recom
5097,not_recom
4895,priority
4941,not_recom
12066,not_recom
4917,not_recom
1716,not_recom
916,priority
8423,spec_prior
8462,spec_prior
5892,not_recom
1199,priority
209,priority
8688,not_recom
11360,spec_prior
2738,spec_prior
5008,priority
6102,not_recom
5834,priority
7608,not_recom
9374,spec_prior
1193,priority
1292,priority
7779,not_recom
1018,priority
767,priority
6903,not_recom
7880,spec_prior
9830,priority
10896,not_recom
10730,spec_prior
7450,spec_prior
8666,priority
8473,spec_prior
12878,spec_prior
12926,spec_prior
11561,spec_prior
5639,priority
8271,not_recom
9649,priority
3614,spec_prior
9142,spec_prior
8045,spec_prior
3651,not_recom
2117,priority
5988,not_recom
3387,not_recom
11172,not_recom
12130,spec_prior
11066,spec_prior
9736,spec_prior
5844,not_recom
2524,priority
1913,priority
5107,priority
2010,not_recom
9694,priority
1641,not_recom
503,priority
12063,not_recom
4945,priority
7281,not_recom
11125,priority
7999,spec_prior
10634,spec_prior
11936,spec_prior
9863,spec_prior
5253,not_recom
8747,spec_prior
10856,spec_prior
3472,spec_prior
655,priority
8565,not_recom
6191,spec_prior
3074,spec_prior
9783,not_recom
8931,not_recom
4049,spec_prior
7086,not_recom
8263,priority
1881,not_recom
9474,not_recom
2694,not_recom
2279,priority
1307,priority
222,not_recom
4441,priority
11867,spec_prior
4776,not_recom
326,priority
10758,not_recom
1849,priority
9564,not_recom
8738,spec_prior
8537,spec_prior
5396,priority
4670,priority
2342,priority
12361,spec_prior
10026,not_recom
1725,not_recom
7161,not_recom
9918,not_recom
12865,spec_prior
2056,very_recom
6654,not_recom
65,priority
12757,priority
9279,not_recom
6382,priority
1405,very_recom
10832,spec_prior
3247,spec_prior
10152,not_recom
12232,spec_prior
3882,not_recom
549,not_recom
3983,spec_prior
5865,not_recom
3806,spec_prior
3164,spec_prior
6492,not_recom
5761,priority
7269,not_recom
2538,not_recom
10422,not_recom
12643,spec_prior
1896,not_recom
4394,priority
6942,not_recom
10350,not_recom
4560,not_recom
3151,priority
8776,priority
12145,spec_prior
9919,priority
11340,not_recom
8474,spec_prior
3210,not_recom
1088,priority
5827,priority
3538,priority
953,priority
12338,spec_prior
4473,not_recom
4593,not_recom
8231,spec_prior
6417,not_recom
1331,priority
1311,not_recom
9705,not_recom
9950,priority
3416,spec_prior
523,priority
8178,not_recom
959,priority
9907,spec_prior
1504,priority
7460,spec_prior
9732,not_recom
2953,priority
6132,not_recom
6600,not_recom
7990,spec_prior
12424,priority
10689,not_recom
10220,spec_prior
11316,not_recom
6529,priority
8969,priority
3313,priority
4627,priority
6716,spec_prior
9793,priority
11320,priority
904,priority
11877,not_recom
3731,spec_prior
5541,not_recom
12265,spec_prior
5446,priority
11412,not_recom
9223,spec_prior
6820,spec_prior
9733,priority
12848,spec_prior
3303,not_recom
7262,spec_prior
7201,priority
5986,priority
9672,not_recom
2544,not_recom
2636,spec_prior
9718,spec_prior
9118,priority
4504,priority
10589,spec_prior
10465,spec_prior
9295,priority
8676,not_recom
11801,spec_prior
9827,spec_prior
3231,not_recom
2284,priority
3391,priority
8842,priority
9873,not_recom
32,priority
9755,priority
8885,priority
8909,spec_prior
1057,priority
6893,spec_prior
4482,not_recom
12832,spec_prior
6896,spec_prior
3351,not_recom
5296,very_recom
12732,not_recom
11883,not_recom
8653,priority
777,not_recom
12240,not_recom
12421,priority
9262,priority
7346,spec_prior
5835,not_recom
11195,spec_prior
4796,priority
1060,priority
10460,spec_prior
418,priority
5482,very_recom
5374,priority
7556,spec_prior
9523,priority
5848,priority
2428,priority
10229,spec_prior
706,very_recom
336,not_recom
1787,priority
12920,spec_prior
204,not_recom
6381,not_recom
3243,not_recom
12857,spec_prior
11855,spec_prior
2051,priority
1204,priority
10725,not_recom
1560,not_recom
3945,not_recom
12074,spec_prior
11971,spec_prior
9249,not_recom
