id,class,parents,has_nurs,form,children,housing,finance,social,healths
101,priority,usual,proper,complete,2,critical,inconv,nonprob,priority
102,not_recom,usual,proper,complete,2,critical,inconv,nonprob,not_recom
104,priority,usual,proper,complete,2,critical,inconv,slightly_prob,priority
106,priority,usual,proper,complete,2,critical,inconv,problematic,recommended
107,priority,usual,proper,complete,2,critical,inconv,problematic,priority
108,not_recom,usual,proper,complete,2,critical,inconv,problematic,not_recom
109,very_recom,usual,proper,complete,3,convenient,convenient,nonprob,recommended
110,priority,usual,proper,complete,3,convenient,convenient,nonprob,priority
111,not_recom,usual,proper,complete,3,convenient,convenient,nonprob,not_recom
112,very_recom,usual,proper,complete,3,convenient,convenient,slightly_prob,recommended
114,not_recom,usual,proper,complete,3,convenient,convenient,slightly_prob,not_recom
116,priority,usual,proper,complete,3,convenient,convenient,problematic,priority
117,not_recom,usual,proper,complete,3,convenient,convenient,problematic,not_recom
118,priority,usual,proper,complete,3,convenient,inconv,nonprob,recommended
119,priority,usual,proper,complete,3,convenient,inconv,nonprob,priority
120,not_recom,usual,proper,complete,3,convenient,inconv,nonprob,not_recom
121,priority,usual,proper,complete,3,convenient,inconv,slightly_prob,recommended
122,priority,usual,proper,complete,3,convenient,inconv,slightly_prob,priority
124,priority,usual,proper,complete,3,convenient,inconv,problematic,recommended
126,not_recom,usual,proper,complete,3,convenient,inconv,problematic,not_recom
129,not_recom,usual,proper,complete,3,less_conv,convenient,nonprob,not_recom
130,priority,usual,proper,complete,3,less_conv,convenient,slightly_prob,recommended
131,priority,usual,proper,complete,3,less_conv,convenient,slightly_prob,priority
132,not_recom,usual,proper,complete,3,less_conv,convenient,slightly_prob,not_recom
133,priority,usual,proper,complete,3,less_conv,convenient,problematic,recommended
134,priority,usual,proper,complete,3,less_conv,convenient,problematic,priority
135,not_recom,usual,proper,complete,3,less_conv,convenient,problematic,not_recom
136,priority,usual,proper,complete,3,less_conv,inconv,nonprob,recommended
137,priority,usual,proper,complete,3,less_conv,inconv,nonprob,priority
139,priority,usual,proper,complete,3,less_conv,inconv,slightly_prob,recommended
140,priority,usual,proper,complete,3,less_conv,inconv,slightly_prob,priority
141,not_recom,usual,proper,complete,3,less_conv,inconv,slightly_prob,not_recom
143,priority,usual,proper,complete,3,less_conv,inconv,problematic,priority
144,not_recom,usual,proper,complete,3,less_conv,inconv,problematic,not_recom
145,priority,usual,proper,complete,3,critical,convenient,nonprob,recommended
146,priority,usual,proper,complete,3,critical,convenient,nonprob,priority
147,not_recom,usual,proper,complete,3,critical,convenient,nonprob,not_recom
148,priority,usual,proper,complete,3,critical,convenient,slightly_prob,recommended
149,priority,usual,proper,complete,3,critical,convenient,slightly_prob,priority
150,not_recom,usual,proper,complete,3,critical,convenient,slightly_prob,not_recom
151,priority,usual,proper,complete,3,critical,convenient,problematic,recommended
153,not_recom,usual,proper,complete,3,critical,convenient,problematic,not_recom
154,priority,usual,proper,complete,3,critical,inconv,nonprob,recommended
155,priority,usual,proper,complete,3,critical,inconv,nonprob,priority
156,not_recom,usual,proper,complete,3,critical,inconv,nonprob,not_recom
158,priority,usual,proper,complete,3,critical,inconv,slightly_prob,priority
159,not_recom,usual,proper,complete,3,critical,inconv,slightly_prob,not_recom
160,priority,usual,proper,complete,3,critical,inconv,problematic,recommended
161,priority,usual,proper,complete,3,critical,inconv,problematic,priority
162,not_recom,usual,proper,complete,3,critical,inconv,problematic,not_recom
163,very_recom,usual,proper,complete,more,convenient,convenient,nonprob,recommended
164,priority,usual,proper,complete,more,convenient,convenient,nonprob,priority
165,not_recom,usual,proper,complete,more,convenient,convenient,nonprob,not_recom
168,not_recom,usual,proper,complete,more,convenient,convenient,slightly_prob,not_recom
169,priority,usual,proper,complete,more,convenient,convenient,problematic,recommended
170,priority,usual,proper,complete,more,convenient,convenient,problematic,priority
171,not_recom,usual,proper,complete,more,convenient,convenient,problematic,not_recom
172,priority,usual,proper,complete,more,convenient,inconv,nonprob,recommended
173,priority,usual,proper,complete,more,convenient,inconv,nonprob,priority
174,not_recom,usual,proper,complete,more,convenient,inconv,nonprob,not_recom
175,priority,usual,proper,complete,more,convenient,inconv,slightly_prob,recommended
176,priority,usual,proper,complete,more,convenient,inconv,slightly_prob,priority
177,not_recom,usual,proper,complete,more,convenient,inconv,slightly_prob,not_recom
179,priority,usual,proper,complete,more,convenient,inconv,problematic,priority
181,priority,usual,proper,complete,more,less_conv,convenient,nonprob,recommended
183,not_recom,usual,proper,complete,more,less_conv,convenient,nonprob,not_recom
184,priority,usual,proper,complete,more,less_conv,convenient,slightly_prob,recommended
185,priority,usual,proper,complete,more,less_conv,convenient,slightly_prob,priority
186,not_recom,usual,proper,complete,more,less_conv,convenient,slightly_prob,not_recom
187,priority,usual,proper,complete,more,less_conv,convenient,problematic,recommended
188,priority,usual,proper,complete,more,less_conv,convenient,problematic,priority
189,not_recom,usual,proper,complete,more,less_conv,convenient,problematic,not_recom
190,priority,usual,proper,complete,more,less_conv,inconv,nonprob,recommended
191,priority,usual,proper,complete,more,less_conv,inconv,nonprob,priority
192,not_recom,usual,proper,complete,more,less_conv,inconv,nonprob,not_recom
193,priority,usual,proper,complete,more,less_conv,inconv,slightly_prob,recommended
195,not_recom,usual,proper,complete,more,less_conv,inconv,slightly_prob,not_recom
197,priority,usual,proper,complete,more,less_conv,inconv,problematic,priority
198,not_recom,usual,proper,complete,more,less_conv,inconv,problematic,not_recom
199,priority,usual,proper,complete,more,critical,convenient,nonprob,recommended
200,priority,usual,proper,complete,more,critical,convenient,nonprob,priority
201,not_recom,usual,proper,complete,more,critical,convenient,nonprob,not_recom
203,priority,usual,proper,complete,more,critical,convenient,slightly_prob,priority
205,priority,usual,proper,complete,more,critical,convenient,problematic,recommended
206,priority,usual,proper,complete,more,critical,convenient,problematic,priority
207,not_recom,usual,proper,complete,more,critical,convenient,problematic,not_recom
210,not_recom,usual,proper,complete,more,critical,inconv,nonprob,not_recom
211,priority,usual,proper,complete,more,critical,inconv,slightly_prob,recommended
212,priority,usual,proper,complete,more,critical,inconv,slightly_prob,priority
213,not_recom,usual,proper,complete,more,critical,inconv,slightly_prob,not_recom
216,not_recom,usual,proper,complete,more,critical,inconv,problematic,not_recom
217,very_recom,usual,proper,completed,1,convenient,convenient,nonprob,recommended
218,priority,usual,proper,completed,1,convenient,convenient,nonprob,priority
220,very_recom,usual,proper,completed,1,convenient,convenient,slightly_prob,recommended
221,priority,usual,proper,completed,1,convenient,convenient,slightly_prob,priority
223,priority,usual,proper,completed,1,convenient,convenient,problematic,recommended
225,not_recom,usual,proper,completed,1,convenient,convenient,problematic,not_recom
226,very_recom,usual,proper,completed,1,convenient,inconv,nonprob,recommended
228,not_recom,usual,proper,completed,1,convenient,inconv,nonprob,not_recom
229,very_recom,usual,proper,completed,1,convenient,inconv,slightly_prob,recommended
230,priority,usual,proper,completed,1,convenient,inconv,slightly_prob,priority
231,not_recom,usual,proper,completed,1,convenient,inconv,slightly_prob,not_recom
232,priority,usual,proper,completed,1,convenient,inconv,problematic,recommended
233,priority,usual,proper,completed,1,convenient,inconv,problematic,priority
234,not_recom,usual,proper,completed,1,convenient,inconv,problematic,not_recom
235,very_recom,usual,proper,completed,1,less_conv,convenient,nonprob,recommended
236,priority,usual,proper,completed,1,less_conv,convenient,nonprob,priority
237,not_recom,usual,proper,completed,1,less_conv,convenient,nonprob,not_recom
238,very_recom,usual,proper,completed,1,less_conv,convenient,slightly_prob,recommended
241,priority,usual,proper,completed,1,less_conv,convenient,problematic,recommended
242,priority,usual,proper,completed,1,less_conv,convenient,problematic,priority
243,not_recom,usual,proper,completed,1,less_conv,convenient,problematic,not_recom
244,very_recom,usual,proper,completed,1,less_conv,inconv,nonprob,recommended
245,priority,usual,proper,completed,1,less_conv,inconv,nonprob,priority
246,not_recom,usual,proper,completed,1,less_conv,inconv,nonprob,not_recom
247,very_recom,usual,proper,completed,1,less_conv,inconv,slightly_prob,recommended
249,not_recom,usual,proper,completed,1,less_conv,inconv,slightly_prob,not_recom
250,priority,usual,proper,completed,1,less_conv,inconv,problematic,recommended
252,not_recom,usual,proper,completed,1,less_conv,inconv,problematic,not_recom
253,priority,usual,proper,completed,1,critical,convenient,nonprob,recommended
254,priority,usual,proper,completed,1,critical,convenient,nonprob,priority
255,not_recom,usual,proper,completed,1,critical,convenient,nonprob,not_recom
257,priority,usual,proper,completed,1,critical,convenient,slightly_prob,priority
258,not_recom,usual,proper,completed,1,critical,convenient,slightly_prob,not_recom
260,priority,usual,proper,completed,1,critical,convenient,problematic,priority
262,priority,usual,proper,completed,1,critical,inconv,nonprob,recommended
264,not_recom,usual,proper,completed,1,critical,inconv,nonprob,not_recom
265,priority,usual,proper,completed,1,critical,inconv,slightly_prob,recommended
266,priority,usual,proper,completed,1,critical,inconv,slightly_prob,priority
267,not_recom,usual,proper,completed,1,critical,inconv,slightly_prob,not_recom
268,priority,usual,proper,completed,1,critical,inconv,problematic,recommended
269,priority,usual,proper,completed,1,critical,inconv,problematic,priority
270,not_recom,usual,proper,completed,1,critical,inconv,problematic,not_recom
271,very_recom,usual,proper,completed,2,convenient,convenient,nonprob,recommended
272,priority,usual,proper,completed,2,convenient,convenient,nonprob,priority
273,not_recom,usual,proper,completed,2,convenient,convenient,nonprob,not_recom
274,very_recom,usual,proper,completed,2,convenient,convenient,slightly_prob,recommended
275,priority,usual,proper,completed,2,convenient,convenient,slightly_prob,priority
276,not_recom,usual,proper,completed,2,convenient,convenient,slightly_prob,not_recom
277,priority,usual,proper,completed,2,convenient,convenient,problematic,recommended
278,priority,usual,proper,completed,2,convenient,convenient,problematic,priority
279,not_recom,usual,proper,completed,2,convenient,convenient,problematic,not_recom
280,very_recom,usual,proper,completed,2,convenient,inconv,nonprob,recommended
281,priority,usual,proper,completed,2,convenient,inconv,nonprob,priority
282,not_recom,usual,proper,completed,2,convenient,inconv,nonprob,not_recom
283,very_recom,usual,proper,completed,2,convenient,inconv,slightly_prob,recommended
284,priority,usual,proper,completed,2,convenient,inconv,slightly_prob,priority
285,not_recom,usual,proper,completed,2,convenient,inconv,slightly_prob,not_recom
286,priority,usual,proper,completed,2,convenient,inconv,problematic,recommended
287,priority,usual,proper,completed,2,convenient,inconv,problematic,priority
290,priority,usual,proper,completed,2,less_conv,convenient,nonprob,priority
291,not_recom,usual,proper,completed,2,less_conv,convenient,nonprob,not_recom
292,very_recom,usual,proper,completed,2,less_conv,convenient,slightly_prob,recommended
293,priority,usual,proper,completed,2,less_conv,convenient,slightly_prob,priority
294,not_recom,usual,proper,completed,2,less_conv,convenient,slightly_prob,not_recom
295,priority,usual,proper,completed,2,less_conv,convenient,problematic,recommended
297,not_recom,usual,proper,completed,2,less_conv,convenient,problematic,not_recom
298,very_recom,usual,proper,completed,2,less_conv,inconv,nonprob,recommended
299,priority,usual,proper,completed,2,less_conv,inconv,nonprob,priority
300,not_recom,usual,proper,completed,2,less_conv,inconv,nonprob,not_recom
301,very_recom,usual,proper,completed,2,less_conv,inconv,slightly_prob,recommended
304,priority,usual,proper,completed,2,less_conv,inconv,problematic,recommended
305,priority,usual,proper,completed,2,less_conv,inconv,problematic,priority
306,not_recom,usual,proper,completed,2,less_conv,inconv,problematic,not_recom
307,priority,usual,proper,completed,2,critical,convenient,nonprob,recommended
308,priority,usual,proper,completed,2,critical,convenient,nonprob,priority
309,not_recom,usual,proper,completed,2,critical,convenient,nonprob,not_recom
310,priority,usual,proper,completed,2,critical,convenient,slightly_prob,recommended
312,not_recom,usual,proper,completed,2,critical,convenient,slightly_prob,not_recom
313,priority,usual,proper,completed,2,critical,convenient,problematic,recommended
314,priority,usual,proper,completed,2,critical,convenient,problematic,priority
316,priority,usual,proper,completed,2,critical,inconv,nonprob,recommended
317,priority,usual,proper,completed,2,critical,inconv,nonprob,priority
318,not_recom,usual,proper,completed,2,critical,inconv,nonprob,not_recom
319,priority,usual,proper,completed,2,critical,inconv,slightly_prob,recommended
320,priority,usual,proper,completed,2,critical,inconv,slightly_prob,priority
321,not_recom,usual,proper,completed,2,critical,inconv,slightly_prob,not_recom
322,priority,usual,proper,completed,2,critical,inconv,problematic,recommended
323,priority,usual,proper,completed,2,critical,inconv,problematic,priority
324,not_recom,usual,proper,completed,2,critical,inconv,problematic,not_recom
325,very_recom,usual,proper,completed,3,convenient,convenient,nonprob,recommended
327,not_recom,usual,proper,completed,3,convenient,convenient,nonprob,not_recom
329,priority,usual,proper,completed,3,convenient,convenient,slightly_prob,priority
332,priority,usual,proper,completed,3,convenient,convenient,problematic,priority
333,not_recom,usual,proper,completed,3,convenient,convenient,problematic,not_recom
335,priority,usual,proper,completed,3,convenient,inconv,nonprob,priority
337,priority,usual,proper,completed,3,convenient,inconv,slightly_prob,recommended
338,priority,usual,proper,completed,3,convenient,inconv,slightly_prob,priority
339,not_recom,usual,proper,completed,3,convenient,inconv,slightly_prob,not_recom
341,priority,usual,proper,completed,3,convenient,inconv,problematic,priority
342,not_recom,usual,proper,completed,3,convenient,inconv,problematic,not_recom
343,priority,usual,proper,completed,3,less_conv,convenient,nonprob,recommended
344,priority,usual,proper,completed,3,less_conv,convenient,nonprob,priority
345,not_recom,usual,proper,completed,3,less_conv,convenient,nonprob,not_recom
346,priority,usual,proper,completed,3,less_conv,convenient,slightly_prob,recommended
348,not_recom,usual,proper,completed,3,less_conv,convenient,slightly_prob,not_recom
349,priority,usual,proper,completed,3,less_conv,convenient,problematic,recommended
354,not_recom,usual,proper,completed,3,less_conv,inconv,nonprob,not_recom
355,priority,usual,proper,completed,3,less_conv,inconv,slightly_prob,recommended
356,priority,usual,proper,completed,3,less_conv,inconv,slightly_prob,priority
357,not_recom,usual,proper,completed,3,less_conv,inconv,slightly_prob,not_recom
359,priority,usual,proper,completed,3,less_conv,inconv,problematic,priority
361,priority,usual,proper,completed,3,critical,convenient,nonprob,recommended
362,priority,usual,proper,completed,3,critical,convenient,nonprob,priority
365,priority,usual,proper,completed,3,critical,convenient,slightly_prob,priority
366,not_recom,usual,proper,completed,3,critical,convenient,slightly_prob,not_recom
367,priority,usual,proper,completed,3,critical,convenient,problematic,recommended
368,priority,usual,proper,completed,3,critical,convenient,problematic,priority
369,not_recom,usual,proper,completed,3,critical,convenient,problematic,not_recom
372,not_recom,usual,proper,completed,3,critical,inconv,nonprob,not_recom
373,priority,usual,proper,completed,3,critical,inconv,slightly_prob,recommended
374,priority,usual,proper,completed,3,critical,inconv,slightly_prob,priority
375,not_recom,usual,proper,completed,3,critical,inconv,slightly_prob,not_recom
376,priority,usual,proper,completed,3,critical,inconv,problematic,recommended
377,priority,usual,proper,completed,3,critical,inconv,problematic,priority
378,not_recom,usual,proper,completed,3,critical,inconv,problematic,not_recom
379,very_recom,usual,proper,completed,more,convenient,convenient,nonprob,recommended
380,priority,usual,proper,completed,more,convenient,convenient,nonprob,priority
381,not_recom,usual,proper,completed,more,convenient,convenient,nonprob,not_recom
382,very_recom,usual,proper,completed,more,convenient,convenient,slightly_prob,recommended
383,priority,usual,proper,completed,more,convenient,convenient,slightly_prob,priority
387,not_recom,usual,proper,completed,more,convenient,convenient,problematic,not_recom
388,priority,usual,proper,completed,more,convenient,inconv,nonprob,recommended
389,priority,usual,proper,completed,more,convenient,inconv,nonprob,priority
390,not_recom,usual,proper,completed,more,convenient,inconv,nonprob,not_recom
391,priority,usual,proper,completed,more,convenient,inconv,slightly_prob,recommended
392,priority,usual,proper,completed,more,convenient,inconv,slightly_prob,priority
393,not_recom,usual,proper,completed,more,convenient,inconv,slightly_prob,not_recom
395,priority,usual,proper,completed,more,convenient,inconv,problematic,priority
396,not_recom,usual,proper,completed,more,convenient,inconv,problematic,not_recom
397,priority,usual,proper,completed,more,less_conv,convenient,nonprob,recommended
398,priority,usual,proper,completed,more,less_conv,convenient,nonprob,priority
399,not_recom,usual,proper,completed,more,less_conv,convenient,nonprob,not_recom
400,priority,usual,proper,completed,more,less_conv,convenient,slightly_prob,recommended
401,priority,usual,proper,completed,more,less_conv,convenient,slightly_prob,priority
402,not_recom,usual,proper,completed,more,less_conv,convenient,slightly_prob,not_recom
404,priority,usual,proper,completed,more,less_conv,convenient,problematic,priority
405,not_recom,usual,proper,completed,more,less_conv,convenient,problematic,not_recom
406,priority,usual,proper,completed,more,less_conv,inconv,nonprob,recommended
407,priority,usual,proper,completed,more,less_conv,inconv,nonprob,priority
408,not_recom,usual,proper,completed,more,less_conv,inconv,nonprob,not_recom
409,priority,usual,proper,completed,more,less_conv,inconv,slightly_prob,recommended
410,priority,usual,proper,completed,more,less_conv,inconv,slightly_prob,priority
411,not_recom,usual,proper,completed,more,less_conv,inconv,slightly_prob,not_recom
412,priority,usual,proper,completed,more,less_conv,inconv,problematic,recommended
413,priority,usual,proper,completed,more,less_conv,inconv,problematic,priority
415,priority,usual,proper,completed,more,critical,convenient,nonprob,recommended
416,priority,usual,proper,completed,more,critical,convenient,nonprob,priority
417,not_recom,usual,proper,completed,more,critical,convenient,nonprob,not_recom
420,not_recom,usual,proper,completed,more,critical,convenient,slightly_prob,not_recom
421,priority,usual,proper,completed,more,critical,convenient,problematic,recommended
422,priority,usual,proper,completed,more,critical,convenient,problematic,priority
423,not_recom,usual,proper,completed,more,critical,convenient,problematic,not_recom
424,priority,usual,proper,completed,more,critical,inconv,nonprob,recommended
425,priority,usual,proper,completed,more,critical,inconv,nonprob,priority
427,priority,usual,proper,completed,more,critical,inconv,slightly_prob,recommended
428,priority,usual,proper,completed,more,critical,inconv,slightly_prob,priority
429,not_recom,usual,proper,completed,more,critical,inconv,slightly_prob,not_recom
431,priority,usual,proper,completed,more,critical,inconv,problematic,priority
433,very_recom,usual,proper,incomplete,1,convenient,convenient,nonprob,recommended
434,priority,usual,proper,incomplete,1,convenient,convenient,nonprob,priority
435,not_recom,usual,proper,incomplete,1,convenient,convenient,nonprob,not_recom
436,very_recom,usual,proper,incomplete,1,convenient,convenient,slightly_prob,recommended
437,priority,usual,proper,incomplete,1,convenient,convenient,slightly_prob,priority
438,not_recom,usual,proper,incomplete,1,convenient,convenient,slightly_prob,not_recom
440,priority,usual,proper,incomplete,1,convenient,convenient,problematic,priority
441,not_recom,usual,proper,incomplete,1,convenient,convenient,problematic,not_recom
442,very_recom,usual,proper,incomplete,1,convenient,inconv,nonprob,recommended
444,not_recom,usual,proper,incomplete,1,convenient,inconv,nonprob,not_recom
445,very_recom,usual,proper,incomplete,1,convenient,inconv,slightly_prob,recommended
446,priority,usual,proper,incomplete,1,convenient,inconv,slightly_prob,priority
447,not_recom,usual,proper,incomplete,1,convenient,inconv,slightly_prob,not_recom
448,priority,usual,proper,incomplete,1,convenient,inconv,problematic,recommended
450,not_recom,usual,proper,incomplete,1,convenient,inconv,problematic,not_recom
451,very_recom,usual,proper,incomplete,1,less_conv,convenient,nonprob,recommended
452,priority,usual,proper,incomplete,1,less_conv,convenient,nonprob,priority
453,not_recom,usual,proper,incomplete,1,less_conv,convenient,nonprob,not_recom
455,priority,usual,proper,incomplete,1,less_conv,convenient,slightly_prob,priority
456,not_recom,usual,proper,incomplete,1,less_conv,convenient,slightly_prob,not_recom
461,priority,usual,proper,incomplete,1,less_conv,inconv,nonprob,priority
462,not_recom,usual,proper,incomplete,1,less_conv,inconv,nonprob,not_recom
464,priority,usual,proper,incomplete,1,less_conv,inconv,slightly_prob,priority
465,not_recom,usual,proper,incomplete,1,less_conv,inconv,slightly_prob,not_recom
466,priority,usual,proper,incomplete,1,less_conv,inconv,problematic,recommended
468,not_recom,usual,proper,incomplete,1,less_conv,inconv,problematic,not_recom
469,priority,usual,proper,incomplete,1,critical,convenient,nonprob,recommended
470,priority,usual,proper,incomplete,1,critical,convenient,nonprob,priority
471,not_recom,usual,proper,incomplete,1,critical,convenient,nonprob,not_recom
472,priority,usual,proper,incomplete,1,critical,convenient,slightly_prob,recommended
473,priority,usual,proper,incomplete,1,critical,convenient,slightly_prob,priority
474,not_recom,usual,proper,incomplete,1,critical,convenient,slightly_prob,not_recom
475,priority,usual,proper,incomplete,1,critical,convenient,problematic,recommended
476,priority,usual,proper,incomplete,1,critical,convenient,problematic,priority
477,not_recom,usual,proper,incomplete,1,critical,convenient,problematic,not_recom
478,priority,usual,proper,incomplete,1,critical,inconv,nonprob,recommended
479,priority,usual,proper,incomplete,1,critical,inconv,nonprob,priority
480,not_recom,usual,proper,incomplete,1,critical,inconv,nonprob,not_recom
481,priority,usual,proper,incomplete,1,critical,inconv,slightly_prob,recommended
482,priority,usual,proper,incomplete,1,critical,inconv,slightly_prob,priority
483,not_recom,usual,proper,incomplete,1,critical,inconv,slightly_prob,not_recom
485,priority,usual,proper,incomplete,1,critical,inconv,problematic,priority
486,not_recom,usual,proper,incomplete,1,critical,inconv,problematic,not_recom
487,very_recom,usual,proper,incomplete,2,convenient,convenient,nonprob,recommended
488,priority,usual,proper,incomplete,2,convenient,convenient,nonprob,priority
490,very_recom,usual,proper,incomplete,2,convenient,convenient,slightly_prob,recommended
491,priority,usual,proper,incomplete,2,convenient,convenient,slightly_prob,priority
492,not_recom,usual,proper,incomplete,2,convenient,convenient,slightly_prob,not_recom
493,priority,usual,proper,incomplete,2,convenient,convenient,problematic,recommended
494,priority,usual,proper,incomplete,2,convenient,convenient,problematic,priority
495,not_recom,usual,proper,incomplete,2,convenient,convenient,problematic,not_recom
496,priority,usual,proper,incomplete,2,convenient,inconv,nonprob,recommended
497,priority,usual,proper,incomplete,2,convenient,inconv,nonprob,priority
498,not_recom,usual,proper,incomplete,2,convenient,inconv,nonprob,not_recom
499,priority,usual,proper,incomplete,2,convenient,inconv,slightly_prob,recommended
500,priority,usual,proper,incomplete,2,convenient,inconv,slightly_prob,priority
502,priority,usual,proper,incomplete,2,convenient,inconv,problematic,recommended
505,priority,usual,proper,incomplete,2,less_conv,convenient,nonprob,recommended
506,priority,usual,proper,incomplete,2,less_conv,convenient,nonprob,priority
508,priority,usual,proper,incomplete,2,less_conv,convenient,slightly_prob,recommended
509,priority,usual,proper,incomplete,2,less_conv,convenient,slightly_prob,priority
510,not_recom,usual,proper,incomplete,2,less_conv,convenient,slightly_prob,not_recom
511,priority,usual,proper,incomplete,2,less_conv,convenient,problematic,recommended
512,priority,usual,proper,incomplete,2,less_conv,convenient,problematic,priority
513,not_recom,usual,proper,incomplete,2,less_conv,convenient,problematic,not_recom
514,priority,usual,proper,incomplete,2,less_conv,inconv,nonprob,recommended
516,not_recom,usual,proper,incomplete,2,less_conv,inconv,nonprob,not_recom
517,priority,usual,proper,incomplete,2,less_conv,inconv,slightly_prob,recommended
518,priority,usual,proper,incomplete,2,less_conv,inconv,slightly_prob,priority
520,priority,usual,proper,incomplete,2,less_conv,inconv,problematic,recommended
521,priority,usual,proper,incomplete,2,less_conv,inconv,problematic,priority
524,priority,usual,proper,incomplete,2,critical,convenient,nonprob,priority
525,not_recom,usual,proper,incomplete,2,critical,convenient,nonprob,not_recom
526,priority,usual,proper,incomplete,2,critical,convenient,slightly_prob,recommended
