PassengerId,Survived,Pclass,State,Sex,Age,SibSp,Parch,Embarked
258,Yes,1st,Miss,female,Mature,Normal,Low,S
259,Yes,1st,Miss,female,Mature,Normal,Low,C
260,Yes,2nd,Mrs,female,Mature,Normal,Normal,S
261,No,3rd,Mr,male,Mature,Normal,Low,Q
262,Yes,3rd,Master,male,Kid,High,High,S
263,No,1st,Mr,male,Mature,Normal,Normal,S
264,No,1st,Mr,male,Mature,Normal,Low,S
265,No,3rd,Miss,female,Mature,Normal,Low,Q
266,No,2nd,Mr,male,Mature,Normal,Low,S
267,No,3rd,Mr,male,Young,High,Normal,S
268,Yes,3rd,Mr,male,Young,Normal,Low,S
269,Yes,1st,Mrs,female,Old,Normal,Normal,S
270,Yes,1st,Miss,female,Mature,Normal,Low,S
271,No,1st,Mr,male,Mature,Normal,Low,S
272,Yes,3rd,Mr,male,Young,Normal,Low,S
273,Yes,2nd,Mrs,female,Mature,Normal,Normal,S
274,No,1st,Mr,male,Mature,Normal,Normal,C
275,Yes,3rd,Miss,female,Mature,Normal,Low,Q
276,Yes,1st,Miss,female,Old,Normal,Low,S
277,No,3rd,Miss,female,Mature,Normal,Low,S
278,No,2nd,Mr,male,Mature,Normal,Low,S
279,No,3rd,Master,male,Kid,High,Normal,Q
280,Yes,3rd,Mrs,female,Mature,Normal,Normal,S
281,No,3rd,Mr,male,Old,Normal,Low,Q
282,No,3rd,Mr,male,Mature,Normal,Low,S
283,No,3rd,Mr,male,Young,Normal,Low,S
284,Yes,3rd,Mr,male,Young,Normal,Low,S
285,No,1st,Mr,male,Mature,Normal,Low,S
286,No,3rd,Mr,male,Mature,Normal,Low,C
287,Yes,3rd,Mr,male,Mature,Normal,Low,S
288,No,3rd,Mr,male,Young,Normal,Low,S
289,Yes,2nd,Mr,male,Mature,Normal,Low,S
290,Yes,3rd,Miss,female,Young,Normal,Low,Q
291,Yes,1st,Miss,female,Young,Normal,Low,S
292,Yes,1st,Mrs,female,Young,Normal,Low,C
293,No,2nd,Mr,male,Mature,Normal,Low,C
294,No,3rd,Miss,female,Young,Normal,Low,S
295,No,3rd,Mr,male,Young,Normal,Low,S
296,No,1st,Mr,male,Mature,Normal,Low,C
297,No,3rd,Mr,male,Young,Normal,Low,C
298,No,1st,Miss,female,Kid,Normal,High,S
299,Yes,1st,Mr,male,Mature,Normal,Low,S
300,Yes,1st,Mrs,female,Mature,Normal,Normal,C
301,Yes,3rd,Miss,female,Mature,Normal,Low,Q
302,Yes,3rd,Mr,male,Mature,Normal,Low,Q
303,No,3rd,Mr,male,Young,Normal,Low,S
304,Yes,2nd,Miss,female,Mature,Normal,Low,Q
305,No,3rd,Mr,male,Mature,Normal,Low,S
306,Yes,1st,Master,male,Kid,Normal,High,S
307,Yes,1st,Miss,female,Mature,Normal,Low,C
308,Yes,1st,Mrs,female,Young,Normal,Low,C
309,No,2nd,Mr,male,Mature,Normal,Low,C
310,Yes,1st,Miss,female,Mature,Normal,Low,C
311,Yes,1st,Miss,female,Young,Normal,Low,C
312,Yes,1st,Miss,female,Young,Normal,High,C
313,No,2nd,Mrs,female,Young,Normal,Normal,S
314,No,3rd,Mr,male,Mature,Normal,Low,S
315,No,2nd,Mr,male,Mature,Normal,Normal,S
316,Yes,3rd,Miss,female,Young,Normal,Low,S
317,Yes,2nd,Mrs,female,Young,Normal,Low,S
318,No,2nd,Miss,male,Old,Normal,Low,S
319,Yes,1st,Miss,female,Mature,Normal,High,S
320,Yes,1st,Mrs,female,Mature,Normal,Normal,C
321,No,3rd,Mr,male,Young,Normal,Low,S
322,No,3rd,Mr,male,Young,Normal,Low,S
323,Yes,2nd,Miss,female,Mature,Normal,Low,Q
324,Yes,2nd,Mrs,female,Young,Normal,Normal,S
325,No,3rd,Mr,male,Mature,High,High,S
326,Yes,1st,Miss,female,Mature,Normal,Low,C
327,No,3rd,Mr,male,Old,Normal,Low,S
328,Yes,2nd,Mrs,female,Mature,Normal,Low,S
329,Yes,3rd,Mrs,female,Mature,Normal,Normal,S
330,Yes,1st,Miss,female,Young,Normal,Normal,C
331,Yes,3rd,Miss,female,Mature,Normal,Low,Q
332,No,1st,Mr,male,Mature,Normal,Low,S
333,No,1st,Mr,male,Mature,Normal,Normal,S
334,No,3rd,Mr,male,Young,Normal,Low,S
335,Yes,1st,Mrs,female,Mature,Normal,Low,S
336,No,3rd,Mr,male,Mature,Normal,Low,S
337,No,1st,Mr,male,Mature,Normal,Low,S
338,Yes,1st,Miss,female,Mature,Normal,Low,C
339,Yes,3rd,Mr,male,Mature,Normal,Low,S
340,No,1st,Mr,male,Mature,Normal,Low,S
341,Yes,2nd,Master,male,Kid,Normal,Normal,S
342,Yes,1st,Miss,female,Young,High,High,S
343,No,2nd,Mr,male,Mature,Normal,Low,S
344,No,2nd,Mr,male,Young,Normal,Low,S
345,No,2nd,Mr,male,Mature,Normal,Low,S
346,Yes,2nd,Miss,female,Young,Normal,Low,S
347,Yes,2nd,Miss,female,Mature,Normal,Low,S
348,Yes,3rd,Mrs,female,Mature,Normal,Low,S
349,Yes,3rd,Master,male,Kid,Normal,Normal,S
350,No,3rd,Mr,male,Mature,Normal,Low,S
351,No,3rd,Mr,male,Young,Normal,Low,S
352,No,1st,Mr,male,Mature,Normal,Low,S
353,No,3rd,Mr,male,Young,Normal,Normal,C
354,No,3rd,Mr,male,Young,Normal,Low,S
355,No,3rd,Mr,male,Mature,Normal,Low,C
356,No,3rd,Mr,male,Mature,Normal,Low,S
357,Yes,1st,Miss,female,Young,Normal,Normal,S
358,No,2nd,Miss,female,Mature,Normal,Low,S
359,Yes,3rd,Miss,female,Mature,Normal,Low,Q
360,Yes,3rd,Miss,female,Mature,Normal,Low,Q
361,No,3rd,Mr,male,Mature,Normal,High,S
362,No,2nd,Mr,male,Mature,Normal,Low,C
363,No,3rd,Mrs,female,Mature,Normal,Normal,C
364,No,3rd,Mr,male,Mature,Normal,Low,S
365,No,3rd,Mr,male,Mature,Normal,Low,Q
366,No,3rd,Mr,male,Mature,Normal,Low,S
367,Yes,1st,Mrs,female,Old,Normal,Low,C
368,Yes,3rd,Mrs,female,Mature,Normal,Low,C
369,Yes,3rd,Miss,female,Mature,Normal,Low,Q
370,Yes,1st,Miss,female,Young,Normal,Low,C
371,Yes,1st,Mr,male,Young,Normal,Low,C
372,No,3rd,Mr,male,Young,Normal,Low,S
373,No,3rd,Mr,male,Young,Normal,Low,S
374,No,1st,Mr,male,Young,Normal,Low,C
375,No,3rd,Miss,female,Kid,High,Normal,S
376,Yes,1st,Mrs,female,Mature,Normal,Low,C
377,Yes,3rd,Miss,female,Young,Normal,Low,S
378,No,1st,Mr,male,Young,Normal,High,C
379,No,3rd,Mr,male,Young,Normal,Low,C
380,No,3rd,Mr,male,Young,Normal,Low,S
381,Yes,1st,Miss,female,Mature,Normal,Low,C
382,Yes,3rd,Miss,female,Kid,Normal,High,C
383,No,3rd,Mr,male,Mature,Normal,Low,S
384,Yes,1st,Mrs,female,Mature,Normal,Low,S
385,No,3rd,Mr,male,Mature,Normal,Low,S
386,No,2nd,Mr,male,Young,Normal,Low,S
387,No,3rd,Master,male,Kid,High,High,S
388,Yes,2nd,Miss,female,Mature,Normal,Low,S
389,No,3rd,Mr,male,Mature,Normal,Low,Q
390,Yes,2nd,Miss,female,Young,Normal,Low,C
391,Yes,1st,Mr,male,Mature,Normal,High,S
392,Yes,3rd,Mr,male,Young,Normal,Low,S
393,No,3rd,Mr,male,Mature,Normal,Low,S
394,Yes,1st,Miss,female,Young,Normal,Low,C
395,Yes,3rd,Mrs,female,Young,Normal,High,S
396,No,3rd,Mr,male,Young,Normal,Low,S
397,No,3rd,Miss,female,Mature,Normal,Low,S
398,No,2nd,Mr,male,Mature,Normal,Low,S
399,No,2nd,Miss,male,Young,Normal,Low,S
400,Yes,2nd,Mrs,female,Mature,Normal,Low,S
401,Yes,3rd,Mr,male,Mature,Normal,Low,S
402,No,3rd,Mr,male,Young,Normal,Low,S
403,No,3rd,Miss,female,Young,Normal,Low,S
404,No,3rd,Mr,male,Mature,Normal,Low,S
405,No,3rd,Miss,female,Young,Normal,Low,S
406,No,2nd,Mr,male,Mature,Normal,Low,S
407,No,3rd,Mr,male,Mature,Normal,Low,S
408,Yes,2nd,Master,male,Kid,Normal,Normal,S
409,No,3rd,Mr,male,Young,Normal,Low,S
410,No,3rd,Miss,female,Mature,High,Normal,S
411,No,3rd,Mr,male,Mature,Normal,Low,S
412,No,3rd,Mr,male,Mature,Normal,Low,Q
413,Yes,1st,Miss,female,Mature,Normal,Low,Q
414,No,2nd,Mr,male,Mature,Normal,Low,S
415,Yes,3rd,Mr,male,Mature,Normal,Low,S
416,No,3rd,Mrs,female,Mature,Normal,Low,S
417,Yes,2nd,Mrs,female,Mature,Normal,Normal,S
418,Yes,2nd,Miss,female,Young,Normal,High,S
419,No,2nd,Mr,male,Mature,Normal,Low,S
420,No,3rd,Miss,female,Kid,Normal,High,S
421,No,3rd,Mr,male,Mature,Normal,Low,C
422,No,3rd,Mr,male,Young,Normal,Low,Q
423,No,3rd,Mr,male,Mature,Normal,Low,S
424,No,3rd,Mrs,female,Mature,Normal,Normal,S
425,No,3rd,Mr,male,Young,Normal,Normal,S
426,No,3rd,Mr,male,Mature,Normal,Low,S
427,Yes,2nd,Mrs,female,Mature,Normal,Low,S
428,Yes,2nd,Miss,female,Young,Normal,Low,S
429,No,3rd,Mr,male,Mature,Normal,Low,Q
430,Yes,3rd,Mr,male,Mature,Normal,Low,S
431,Yes,1st,Mr,male,Mature,Normal,Low,S
432,Yes,3rd,Mrs,female,Mature,Normal,Low,S
433,Yes,2nd,Mrs,female,Mature,Normal,Low,S
434,No,3rd,Mr,male,Young,Normal,Low,S
435,No,1st,Mr,male,Mature,Normal,Low,S
436,Yes,1st,Miss,female,Young,Normal,High,S
437,No,3rd,Miss,female,Young,Normal,High,S
438,Yes,2nd,Mrs,female,Young,Normal,High,S
439,No,1st,Mr,male,Old,Normal,High,S
440,No,2nd,Mr,male,Mature,Normal,Low,S
441,Yes,2nd,Mrs,female,Mature,Normal,Normal,S
442,No,3rd,Mr,male,Young,Normal,Low,S
443,No,3rd,Mr,male,Young,Normal,Low,S
444,Yes,2nd,Miss,female,Mature,Normal,Low,S
445,Yes,3rd,Mr,male,Mature,Normal,Low,S
446,Yes,1st,Master,male,Kid,Normal,High,S
447,Yes,2nd,Miss,female,Kid,Normal,Normal,S
448,Yes,1st,Mr,male,Mature,Normal,Low,S
449,Yes,3rd,Miss,female,Kid,Normal,Normal,C
450,Yes,1st,Miss,male,Mature,Normal,Low,S
451,No,2nd,Mr,male,Mature,Normal,High,S
452,No,3rd,Mr,male,Mature,Normal,Low,S
453,No,1st,Mr,male,Mature,Normal,Low,C
454,Yes,1st,Mr,male,Mature,Normal,Low,C
455,No,3rd,Mr,male,Mature,Normal,Low,S
456,Yes,3rd,Mr,male,Mature,Normal,Low,C
457,No,1st,Mr,male,Old,Normal,Low,S
458,Yes,1st,Mrs,female,Mature,Normal,Low,S
459,Yes,2nd,Miss,female,Mature,Normal,Low,S
460,No,3rd,Mr,male,Mature,Normal,Low,Q
461,Yes,1st,Mr,male,Mature,Normal,Low,S
462,No,3rd,Mr,male,Mature,Normal,Low,S
463,No,1st,Mr,male,Mature,Normal,Low,S
464,No,2nd,Mr,male,Mature,Normal,Low,S
465,No,3rd,Mr,male,Mature,Normal,Low,S
466,No,3rd,Mr,male,Mature,Normal,Low,S
467,No,2nd,Mr,male,Mature,Normal,Low,S
468,No,1st,Mr,male,Old,Normal,Low,S
469,No,3rd,Mr,male,Mature,Normal,Low,Q
470,Yes,3rd,Miss,female,Kid,Normal,Normal,C
471,No,3rd,Mr,male,Mature,Normal,Low,S
472,No,3rd,Mr,male,Mature,Normal,Low,S
473,Yes,2nd,Mrs,female,Mature,Normal,High,S
474,Yes,2nd,Mrs,female,Young,Normal,Low,C
475,No,3rd,Miss,female,Young,Normal,Low,S
476,No,1st,Mr,male,Mature,Normal,Low,S
477,No,2nd,Mr,male,Mature,Normal,Low,S
478,No,3rd,Mr,male,Mature,Normal,Low,S
479,No,3rd,Mr,male,Young,Normal,Low,S
480,Yes,3rd,Miss,female,Kid,Normal,Normal,S
481,No,3rd,Master,male,Kid,High,High,S
482,No,2nd,Mr,male,Mature,Normal,Low,S
483,No,3rd,Mr,male,Mature,Normal,Low,S
484,Yes,3rd,Mrs,female,Old,Normal,Low,S
485,Yes,1st,Mr,male,Young,Normal,Low,C
486,No,3rd,Miss,female,Mature,High,Normal,S
487,Yes,1st,Mrs,female,Mature,Normal,Low,S
488,No,1st,Mr,male,Old,Normal,Low,C
489,No,3rd,Mr,male,Mature,Normal,Low,S
490,Yes,3rd,Master,male,Kid,Normal,Normal,S
491,No,3rd,Mr,male,Mature,Normal,Low,S
492,No,3rd,Mr,male,Young,Normal,Low,S
493,No,1st,Mr,male,Old,Normal,Low,S
494,No,1st,Mr,male,Old,Normal,Low,C
495,No,3rd,Mr,male,Young,Normal,Low,S
496,No,3rd,Mr,male,Mature,Normal,Low,C
497,Yes,1st,Miss,female,Old,Normal,Low,C
498,No,3rd,Mr,male,Mature,Normal,Low,S
499,No,1st,Mrs,female,Young,Normal,High,S
500,No,3rd,Mr,male,Young,Normal,Low,S
501,No,3rd,Mr,male,Young,Normal,Low,S
502,No,3rd,Miss,female,Young,Normal,Low,Q
503,No,3rd,Miss,female,Mature,Normal,Low,Q
504,No,3rd,Miss,female,Mature,Normal,Low,S
505,Yes,1st,Miss,female,Young,Normal,Low,S
506,No,1st,Mr,male,Young,Normal,Low,C
507,Yes,2nd,Mrs,female,Mature,Normal,High,S
508,Yes,1st,Mr,male,Mature,Normal,Low,S
509,No,3rd,Mr,male,Mature,Normal,Low,S
510,Yes,3rd,Mr,male,Young,Normal,Low,S
